Timestamp                       (process)[PID]    
2026-04-26 05:02:07.659790-0500  localhost launchd[1]: [system/com.apple.WindowServer:] internal event: WILL_SPAWN, code = 0
2026-04-26 05:02:07.659798-0500  localhost launchd[1]: [system/com.apple.WindowServer:] service state: spawn scheduled
2026-04-26 05:02:07.659799-0500  localhost launchd[1]: [system/com.apple.WindowServer:] service state: spawning
2026-04-26 05:02:07.659847-0500  localhost launchd[1]: [system/com.apple.WindowServer:] launching: ipc (mach)
2026-04-26 05:02:07.660176-0500  localhost launchd[1]: [system/com.apple.WindowServer [167]:] xpcproxy spawned with pid 167
2026-04-26 05:02:07.660186-0500  localhost launchd[1]: [system/com.apple.WindowServer [167]:] internal event: SPAWNED, code = 0
2026-04-26 05:02:07.660188-0500  localhost launchd[1]: [system/com.apple.WindowServer [167]:] service state: xpcproxy
2026-04-26 05:02:07.660196-0500  localhost launchd[1]: [system/com.apple.WindowServer [167]:] internal event: SOURCE_ATTACH, code = 0
2026-04-26 05:02:07.667088-0500  localhost launchd[1]: [system/com.apple.WindowServer [167]:] service state: running
2026-04-26 05:02:07.667115-0500  localhost launchd[1]: [system/com.apple.WindowServer [167]:] internal event: INIT, code = 0
2026-04-26 05:02:07.667120-0500  localhost launchd[1]: [system/com.apple.WindowServer [167]:] Successfully spawned WindowServer[167] because ipc (mach)
2026-04-26 05:02:07.674674-0500  localhost WindowServer[167]: (libxpc.dylib) [com.apple.xpc.bundle:] bundle /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer tainted with reason "missing executable"
2026-04-26 05:02:07.674893-0500  localhost WindowServer[167]: (libxpc.dylib) [com.apple.xpc.bundle:] bundle /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer tainted with reason "missing executable"
2026-04-26 05:02:07.675000-0500  localhost launchd[1]: [pid/167 [WindowServer]:] uncorking exec source upfront
2026-04-26 05:02:07.675011-0500  localhost launchd[1]: [pid/167 [WindowServer]:] created
2026-04-26 05:02:07.675850-0500  localhost WindowServer[167]: (libxpc.dylib) [com.apple.xpc.bundle:] bundle /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer tainted with reason "missing executable"
2026-04-26 05:02:07.680556-0500  localhost WindowServer[167]: (libsystem_info.dylib) Created Activity ID: 0xc0, Description: Membership API: translate identifier
2026-04-26 05:02:07.807986-0500  localhost dirhelper[154]: [com.apple.libcoreservices:] mkdir_rootless: rootless mkdir for uid=88, mode=700, path=/var/folders/zz/zyxvpxvq6csfxvn_n00000b000002r/T/WindowServer/
2026-04-26 05:02:07.809849-0500  localhost WindowServer[167]: (libsystem_coreservices.dylib) [com.apple.libcoreservices:] _dirhelper_update_tmpdir: old=(null), new=<private>
2026-04-26 05:02:07.924779-0500  localhost WindowServer[167]: (SkyLight) [com.apple.SkyLight:default] watchdog monitoring not yet enabled, skipping watchdog early initialization
2026-04-26 05:02:07.924787-0500  localhost WindowServer[167]: (SkyLight) [com.apple.SkyLight:default] Server is starting up
2026-04-26 05:02:07.930652-0500  localhost UserEventAgent[99]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:07.931975-0500  localhost UserEventAgent[99]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:09.934415-0500  localhost apsd[139]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:09.964191-0500  localhost launchd[1]: [pid/247 [airportd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:09.966242-0500  localhost launchd[1]: [user/0/com.apple.security.XPCTimeStampingService:] created the implicit endpoint upfront
2026-04-26 05:02:09.966245-0500  localhost launchd[1]: [user/0/com.apple.security.XPCTimeStampingService:] draining messages from com.apple.security.XPCTimeStampingService
2026-04-26 05:02:09.975627-0500  localhost launchd[1]: [pid/127 [mds]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:09.991955-0500  localhost launchd[1]: [pid/231 [lsd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:10.070185-0500  localhost launchd[1]: [pid/255 [authd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:10.311673-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:10.311757-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:10.404779-0500  localhost launchd[1]: [pid/270 [coreaudiod]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:10.405370-0500  localhost launchd[1]: [user/202/com.apple.security.XPCTimeStampingService:] created the implicit endpoint upfront
2026-04-26 05:02:10.405372-0500  localhost launchd[1]: [user/202/com.apple.security.XPCTimeStampingService:] draining messages from com.apple.security.XPCTimeStampingService
2026-04-26 05:02:10.502242-0500  localhost UserEventAgent[259]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:10.502393-0500  localhost UserEventAgent[259]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:10.753728-0500  localhost launchd[1]: [pid/284 [com.apple.audio]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:10.806239-0500  localhost launchd[1]: [pid/264 [mdmclient]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:10.945501-0500  localhost ARDAgent[278]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:11.115080-0500  localhost ARDAgent[278]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:11.115146-0500  localhost ARDAgent[278]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:11.201936-0500  localhost launchd[1]: [pid/140 [launchservicesd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:11.320159-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:11.320275-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:11.326680-0500  localhost ARDAgent[278]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:12.006094-0500  localhost UVCAssistant[306]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:12.006170-0500  localhost UVCAssistant[306]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:12.006344-0500  localhost UVCAssistant[306]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:12.006422-0500  localhost UVCAssistant[306]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:12.324644-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:12.324709-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:12.532348-0500  localhost launchd[1]: [pid/109 [accessoryupdate]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:12.534102-0500  localhost launchd[1]: [user/278/com.apple.security.XPCTimeStampingService:] created the implicit endpoint upfront
2026-04-26 05:02:12.534105-0500  localhost launchd[1]: [user/278/com.apple.security.XPCTimeStampingService:] draining messages from com.apple.security.XPCTimeStampingService
